event_id,event_date,latitude,longitude,state,rainfall_1d,rainfall_3d,rainfall_7d,rainfall_15d,rainfall_30d,soil_moisture,soil_moisture_anomaly,elevation,slope,aspect,curvature,landslide,sample_type
2161,2010-07-29,30.747,78.452,Uttarakhand,17.15,33.61,58.16,198.09,375.44,0.9,0.6308,1154.24,18.42,87.08,0.004286,1,positive
APDA-NEG-01200,2010-09-12,25.5,94.375,Nagaland,4.38,6.8,35.08,78.13,181.17,0.89,2.6,1690.52,34.92,313.33,-0.003122,0,negative
2475,2010-09-20,31.158,77.716,Himachal Pradesh,0.55,95.19,160.69,297.25,557.66,0.98,1.8441,1725.11,34.04,73.28,-0.002909,1,positive
APDA-NEG-00741,2018-09-28,32.0,78.125,Himachal Pradesh,5.74,5.74,145.9,147.17,225.76,0.9,2.6667,5347.43,45.52,279.8,-0.005436,0,negative
APDA-NEG-01556,2011-07-09,29.5,80.625,Uttarakhand,8.45,11.21,23.68,328.33,364.34,0.76,1.7333,2217.17,32.44,5.59,0.001258,0,negative
4240,2012-03-04,29.58,80.212,Uttarakhand,0.09,0.09,0.09,0.09,2.2,0.58,0.217,1528.22,7.18,22.94,0.00665,1,positive
697,2008-08-08,31.13,77.09,Himachal Pradesh,39.24,51.75,122.25,204.16,333.3,0.87,1.7415,1683.9,28.57,334.65,-0.002892,1,positive
APDA-NEG-01372,2007-07-16,27.5,88.125,Sikkim,8.48,25.38,73.85,102.78,165.65,0.75,1.6667,4104.06,56.52,298.77,0.014678,0,negative
APDA-NEG-01073,2015-08-27,23.5,92.5,Mizoram,3.73,7.18,36.98,228.87,404.17,0.93,2.8667,697.5,31.7,35.92,-0.007925,0,negative
2379,2010-09-03,30.285,78.983,Uttarakhand,20.33,86.83,149.99,362.5,608.54,0.98,1.5829,656.91,20.85,185.84,0.006125,1,positive
APDA-NEG-01126,2010-07-20,27.0,94.375,Nagaland,9.38,42.41,114.28,203.05,408.28,0.92,2.8,86.0,0.0,0.0,0.0,0,negative
14641,2018-09-15,27.331,88.614,Sikkim,7.19,23.91,92.8,173.28,368.51,0.94,1.4844,1650.15,11.11,253.82,0.003128,1,positive
7780,2015-08-26,23.357,92.788,Mizoram,2.74,4.43,57.97,228.73,414.94,0.93,1.0958,1365.99,11.15,346.01,-0.004264,1,positive
APDA-NEG-01085,2016-07-29,23.5,93.125,Mizoram,5.2,20.12,50.23,107.48,242.7,0.82,2.1333,768.55,33.9,313.22,0.007988,0,negative
10980,2017-04-04,25.181,93.118,Assam,22.98,113.69,312.64,321.59,372.3,0.91,3.4222,580.98,13.04,66.78,-0.005864,1,positive
APDA-NEG-01351,2011-09-30,27.15,88.8,Sikkim,0.02,0.77,77.6,233.65,292.34,0.9,2.6667,1594.02,19.03,313.44,-0.001078,0,negative
APDA-NEG-00682,2010-07-07,33.0,77.5,Himachal Pradesh,0.83,13.0,18.52,27.77,38.43,0.42,-0.5333,5155.49,22.24,314.26,0.012153,0,negative
5044,2013-07-06,31.163,77.724,Himachal Pradesh,7.01,14.36,37.34,153.51,576.01,0.88,1.5253,1464.94,28.56,125.89,0.011584,1,positive
APDA-NEG-01687,2013-07-31,29.5,80.625,Uttarakhand,5.92,11.21,57.79,222.42,430.75,0.9,2.6667,2217.17,32.44,5.59,0.001258,0,negative
APDA-NEG-01466,2011-08-12,30.5,77.5,Uttarakhand,11.79,22.02,44.33,144.92,449.7,0.89,2.6,425.48,0.38,300.89,0.001817,0,negative
4411,2012-06-14,27.339,88.607,Sikkim,0.38,1.05,3.53,33.94,51.06,0.52,-0.6396,1527.94,24.18,275.25,0.004604,1,positive
APDA-NEG-01031,2019-07-09,25.0,90.625,Meghalaya,115.12,216.72,280.01,534.83,801.96,0.98,3.2,9.45,0.41,97.51,-0.000647,0,negative
APDA-NEG-01826,2016-09-11,29.5,78.75,Uttarakhand,0.89,1.58,5.72,45.09,85.75,0.59,0.6,285.78,7.49,11.54,0.004111,0,negative
APDA-NEG-01066,2010-09-13,23.5,92.5,Mizoram,9.93,17.18,36.45,70.49,218.07,0.86,2.4,697.5,31.7,35.92,-0.007925,0,negative
