event_id,event_date,latitude,longitude,state,source_catalog,source_dataset,sample_type,rainfall_1d,rainfall_3d,rainfall_7d,rainfall_15d,rainfall_30d,soil_moisture,soil_moisture_anomaly,elevation,slope,aspect,curvature,landslide
APDA-NEG-00126,2017-07-05,28.0,93.75,Arunachal Pradesh,Background_Sampling,Copernicus_NASA_Background,negative,17.03,69.48,232.28,343.76,526.84,0.95,3.0,576.05,30.81,45.85,0.021021,0
APDA-NEG-00127,2017-07-09,27.0,94.375,Arunachal Pradesh,Background_Sampling,Copernicus_NASA_Background,negative,81.52,140.93,198.35,421.12,602.43,0.97,3.1333,86.0,0.0,0.0,0.0,0
APDA-NEG-00128,2017-05-03,29.0,95.625,Arunachal Pradesh,Background_Sampling,Copernicus_NASA_Background,negative,2.72,10.65,38.29,124.54,156.84,0.8,2.0,2967.53,32.82,99.99,-0.011499,0
APDA-NEG-00129,2017-07-09,28.0,93.75,Arunachal Pradesh,Background_Sampling,Copernicus_NASA_Background,negative,88.65,165.83,253.1,484.41,704.68,0.98,3.2,576.05,30.81,45.85,0.021021,0
APDA-NEG-00130,2016-04-22,29.0,96.25,Arunachal Pradesh,Background_Sampling,Copernicus_NASA_Background,negative,2.85,35.24,45.16,103.72,144.05,0.83,2.2,4424.4,28.85,66.8,0.001741,0
APDA-NEG-00131,2017-07-09,29.0,95.625,Arunachal Pradesh,Background_Sampling,Copernicus_NASA_Background,negative,21.26,64.31,119.08,269.61,400.97,0.97,3.1333,2967.53,32.82,99.99,-0.011499,0
APDA-NEG-00132,2017-06-20,28.5,95.625,Arunachal Pradesh,Background_Sampling,Copernicus_NASA_Background,negative,3.16,85.18,145.55,183.84,483.41,0.93,2.8667,2215.04,37.28,283.93,-0.000253,0
APDA-NEG-00133,2017-07-09,27.0,94.375,Arunachal Pradesh,Background_Sampling,Copernicus_NASA_Background,negative,81.52,140.93,198.35,421.12,602.43,0.97,3.1333,86.0,0.0,0.0,0.0,0
APDA-NEG-00134,2008-10-29,28.5,95.625,Arunachal Pradesh,Background_Sampling,Copernicus_NASA_Background,negative,0.52,44.52,55.23,58.33,122.0,0.82,2.1333,2215.04,37.28,283.93,-0.000253,0
APDA-NEG-00135,2017-07-09,29.0,95.625,Arunachal Pradesh,Background_Sampling,Copernicus_NASA_Background,negative,21.26,64.31,119.08,269.61,400.97,0.97,3.1333,2967.53,32.82,99.99,-0.011499,0
APDA-NEG-00136,2017-06-04,28.0,93.75,Arunachal Pradesh,Background_Sampling,Copernicus_NASA_Background,negative,2.98,80.9,144.18,241.21,367.9,0.88,2.5333,576.05,30.81,45.85,0.021021,0
